ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-06-14,9.265592751334829,-10.271530028687552,17.66390391775227,9.265592751334829,9.265592751334829,-5.465199293628026,-5.465199293628026,-5.465199293628026,-6.167659999992806,-6.167659999992806,-6.167659999992806,0.7024607063647805,0.7024607063647805,0.7024607063647805,0.0,0.0,0.0,3.800393457706803
2018-06-15,9.266160598299606,-11.293344480415263,19.42530068058287,9.266160598299606,9.266160598299606,-6.182531510095985,-6.182531510095985,-6.182531510095985,-6.849970266332267,-6.849970266332267,-6.849970266332267,0.6674387562362829,0.6674387562362829,0.6674387562362829,0.0,0.0,0.0,3.0836290882036215
2018-06-16,9.266728445264386,-28.620540384759263,-0.05994853776102916,9.266728445264386,9.266728445264386,-24.403379356847406,-24.403379356847406,-24.403379356847406,-25.023016298165473,-25.023016298165473,-25.023016298165473,0.6196369413180627,0.6196369413180627,0.6196369413180627,0.0,0.0,0.0,-15.13665091158302
2018-06-17,9.267296292229164,-8.942741200997704,19.85161482637953,9.267296292229164,9.267296292229164,-3.2217759859695625,-3.2217759859695625,-3.2217759859695625,-3.782710526712818,-3.782710526712818,-3.782710526712818,0.5609345407432552,0.5609345407432552,0.5609345407432552,0.0,0.0,0.0,6.045520306259601
2018-06-18,9.267864139193941,42.06028577558146,70.06892416353183,9.267864139193941,9.267864139193941,46.03453338572374,46.03453338572374,46.03453338572374,45.541038854400874,45.541038854400874,45.541038854400874,0.4934945313228763,0.4934945313228763,0.4934945313228763,0.0,0.0,0.0,55.30239752491768
2018-06-19,9.26843198615872,-4.984079493719526,25.631360699203555,9.26843198615872,9.26843198615872,0.39286764167586335,0.39286764167586335,0.39286764167586335,-0.026834306835679667,-0.026834306835679667,-0.026834306835679667,0.4197019485115425,0.4197019485115425,0.4197019485115425,0.0,0.0,0.0,9.661299627834584
2018-06-20,9.2689998331235,-8.677452170574842,20.273290269829456,9.2689998331235,9.2689998331235,-3.3487512408283795,-3.3487512408283795,-3.3487512408283795,-3.6908474562220572,-3.6908474562220572,-3.6908474562220572,0.3420962153936767,0.3420962153936767,0.3420962153936767,0.0,0.0,0.0,5.9202485922951205
2018-06-21,9.269567680088278,-10.866665178923267,17.408227449344487,9.269567680088278,9.269567680088278,-5.904360599974985,-5.904360599974985,-5.904360599974985,-6.167659999970267,-6.167659999970267,-6.167659999970267,0.26329939999528196,0.26329939999528196,0.26329939999528196,0.0,0.0,0.0,3.3652070801132927
2018-06-22,9.270135527053057,-11.624738567162826,17.10024202415462,9.270135527053057,9.270135527053057,-6.6640277939681,-6.6640277939681,-6.6640277939681,-6.849970266293398,-6.849970266293398,-6.849970266293398,0.1859424723252985,0.1859424723252985,0.1859424723252985,0.0,0.0,0.0,2.606107733084957
2018-06-23,9.270703374017836,-29.979206220184214,-1.1077736646371483,9.270703374017836,9.270703374017836,-24.910424615797204,-24.910424615797204,-24.910424615797204,-25.02301629814681,-25.02301629814681,-25.02301629814681,0.1125916823496078,0.1125916823496078,0.1125916823496078,0.0,0.0,0.0,-15.639721241779368
2018-06-24,9.271271220982612,-9.23000773766327,20.232981233579793,9.271271220982612,9.271271220982612,-3.737033359556921,-3.737033359556921,-3.737033359556921,-3.7827105269457233,-3.7827105269457233,-3.7827105269457233,0.04567716738880219,0.04567716738880219,0.04567716738880219,0.0,0.0,0.0,5.534237861425691
2018-06-25,9.271839067947392,41.253388113749914,69.32729994384083,9.271839067947392,9.271839067947392,45.528464677219404,45.528464677219404,45.528464677219404,45.54103885438,45.54103885438,45.54103885438,-0.012574177160588779,-0.012574177160588779,-0.012574177160588779,0.0,0.0,0.0,54.800303745166794
2018-06-26,9.272406914912171,-6.093081182896683,23.806487622311757,9.272406914912171,9.272406914912171,-0.08703397074272812,-0.08703397074272812,-0.08703397074272812,-0.02683430686414301,-0.02683430686414301,-0.02683430686414301,-0.0601996638785848,-0.0601996638785848,-0.0601996638785848,0.0,0.0,0.0,9.185372944169442
2018-06-27,9.272974761876949,-7.728058178579198,19.860995280510927,9.272974761876949,9.272974761876949,-3.7864013616513565,-3.7864013616513565,-3.7864013616513565,-3.6908474562300784,-3.6908474562300784,-3.6908474562300784,-0.09555390542127663,-0.09555390542127663,-0.09555390542127663,0.0,0.0,0.0,5.486573400225592
2018-06-28,9.273542608841728,-10.893466243503555,16.604342230585658,9.273542608841728,9.273542608841728,-6.285012560356486,-6.285012560356486,-6.285012560356486,-6.167659999947728,-6.167659999947728,-6.167659999947728,-0.1173525604087581,-0.1173525604087581,-0.1173525604087581,0.0,0.0,0.0,2.9885300484852424
2018-06-29,9.274110455806508,-11.842395954362356,17.439161701050516,9.274110455806508,9.274110455806508,-6.974675807676133,-6.974675807676133,-6.974675807676133,-6.849970266351986,-6.849970266351986,-6.849970266351986,-0.1247055413241463,-0.1247055413241463,-0.1247055413241463,0.0,0.0,0.0,2.299434648130375
2018-06-30,9.274678302771285,-30.79204465219183,-2.269311378535525,9.274678302771285,9.274678302771285,-25.140155104782412,-25.140155104782412,-25.140155104782412,-25.023016298207086,-25.023016298207086,-25.023016298207086,-0.11713880657533095,-0.11713880657533095,-0.11713880657533095,0.0,0.0,0.0,-15.865476802011127
2018-07-01,9.275246149736063,-9.331790861997757,20.13001480009494,9.275246149736063,9.275246149736063,-3.8773147236646195,-3.8773147236646195,-3.8773147236646195,-3.78271052686526,-3.78271052686526,-3.78271052686526,-0.09460419679935973,-0.09460419679935973,-0.09460419679935973,0.0,0.0,0.0,5.397931426071443
2018-07-02,9.275813996700842,41.15827426574862,68.91303117984202,9.275813996700842,9.275813996700842,45.483561727173374,45.483561727173374,45.483561727173374,45.54103885438903,45.54103885438903,45.54103885438903,-0.057477127215652624,-0.057477127215652624,-0.057477127215652624,0.0,0.0,0.0,54.759375723874214
2018-07-03,9.276381843665622,-5.227369067001275,23.436896214143044,9.276381843665622,9.276381843665622,-0.033376609773665133,-0.033376609773665133,-0.033376609773665133,-0.026834306896304783,-0.026834306896304783,-0.026834306896304783,-0.006542302877359679,-0.006542302877359679,-0.006542302877359679,0.0,0.0,0.0,9.243005233891957
2018-07-04,9.2769496906304,-8.513360936983956,20.23967020321868,9.2769496906304,9.2769496906304,-3.63381542765982,-3.63381542765982,-3.63381542765982,-3.6908474562381,-3.6908474562381,-3.6908474562381,0.05703202857827963,0.05703202857827963,0.05703202857827963,0.0,0.0,0.0,5.643134262970579
