ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-02-01,124.07851068277364,72.7322424084139,226.31013395067316,124.07851068277364,124.07851068277364,25.070652759278598,25.070652759278598,25.070652759278598,25.070652759278598,25.070652759278598,25.070652759278598,0.0,0.0,0.0,149.14916344205224
2015-03-01,123.74041992219914,61.68278922266736,214.5055164263201,123.74041992219914,123.74041992219914,16.457901786247138,16.457901786247138,16.457901786247138,16.457901786247138,16.457901786247138,16.457901786247138,0.0,0.0,0.0,140.1983217084463
2015-04-01,123.36610517109382,40.00088874050735,193.39598266026445,123.36610517109382,123.36610517109382,-3.321839982333369,-3.321839982333369,-3.321839982333369,-3.321839982333369,-3.321839982333369,-3.321839982333369,0.0,0.0,0.0,120.04426518876045
2015-05-01,123.00386508937902,39.87517378800607,191.29888761327652,123.00386508937902,123.00386508937902,-7.386805612931397,-7.386805612931397,-7.386805612931397,-7.386805612931397,-7.386805612931397,-7.386805612931397,0.0,0.0,0.0,115.61705947644762
2015-06-01,122.6295503382737,44.09605296278352,202.87463461363922,122.6295503382737,122.6295503382737,2.5915852404518898,2.5915852404518898,2.5915852404518898,2.5915852404518898,2.5915852404518898,2.5915852404518898,0.0,0.0,0.0,125.2211355787256
2015-07-01,122.26731025655889,43.70342637894052,196.56251197046203,122.26731025655889,122.26731025655889,-4.08349773207567,-4.08349773207567,-4.08349773207567,-4.08349773207567,-4.08349773207567,-4.08349773207567,0.0,0.0,0.0,118.18381252448322
2015-08-01,121.8929954796352,46.75189562333127,202.096321299559,121.8929954796352,121.8929954796352,2.2951946072702505,2.2951946072702505,2.2951946072702505,2.2951946072702505,2.2951946072702505,2.2951946072702505,0.0,0.0,0.0,124.18819008690545
2015-09-01,121.51868070271156,61.11387346992097,209.18036895527595,121.51868070271156,121.51868070271156,11.089193416512057,11.089193416512057,11.089193416512057,11.089193416512057,11.089193416512057,11.089193416512057,0.0,0.0,0.0,132.60787411922362
2015-10-01,121.15644059601122,33.74295825396906,182.25050651092343,121.15644059601122,121.15644059601122,-9.901650472808996,-9.901650472808996,-9.901650472808996,-9.901650472808996,-9.901650472808996,-9.901650472808996,0.0,0.0,0.0,111.25479012320223
2015-11-01,120.78212582043184,38.747706821880485,198.32841943098632,120.78212582043184,120.78212582043184,-0.8464240451333921,-0.8464240451333921,-0.8464240451333921,-0.8464240451333921,-0.8464240451333921,-0.8464240451333921,0.0,0.0,0.0,119.93570177529845
2015-12-01,120.41988571503246,-30.67507936389878,121.13146110350476,120.41988571503246,120.41988571503246,-76.62385874413175,-76.62385874413175,-76.62385874413175,-76.62385874413175,-76.62385874413175,-76.62385874413175,0.0,0.0,0.0,43.79602697090071
2016-01-01,120.0455709394531,87.14753204904457,245.20963505068812,120.0455709394531,120.0455709394531,42.856865517246085,42.856865517246085,42.856865517246085,42.856865517246085,42.856865517246085,42.856865517246085,0.0,0.0,0.0,162.90243645669918
2016-02-01,119.67125616387375,66.49602927679378,223.03897296446718,119.67125616387375,119.67125616387375,25.10897635241972,25.10897635241972,25.10897635241972,25.10897635241972,25.10897635241972,25.10897635241972,0.0,0.0,0.0,144.78023251629347
2016-03-01,119.32109072689127,60.214912226442316,217.24620448510305,119.32109072689127,119.32109072689127,17.97147320721219,17.97147320721219,17.97147320721219,17.97147320721219,17.97147320721219,17.97147320721219,0.0,0.0,0.0,137.29256393410347
2016-04-01,118.94677594942723,31.062026986755964,191.93503737488626,118.94677594942723,118.94677594942723,-2.8774189274034208,-2.8774189274034208,-2.8774189274034208,-2.8774189274034208,-2.8774189274034208,-2.8774189274034208,0.0,0.0,0.0,116.06935702202381
2016-05-01,118.584535842204,33.03910500590575,189.5408232282085,118.584535842204,118.584535842204,-7.373881681607724,-7.373881681607724,-7.373881681607724,-7.373881681607724,-7.373881681607724,-7.373881681607724,0.0,0.0,0.0,111.21065416059628
2016-06-01,118.2102210553055,41.66858929056059,201.2426391986432,118.2102210553055,118.2102210553055,1.7722623640985598,1.7722623640985598,1.7722623640985598,1.7722623640985598,1.7722623640985598,1.7722623640985598,0.0,0.0,0.0,119.98248341940406
2016-07-01,117.8479809389521,33.13787464196654,193.3800194615088,117.8479809389521,117.8479809389521,-4.8793497999965965,-4.8793497999965965,-4.8793497999965965,-4.8793497999965965,-4.8793497999965965,-4.8793497999965965,0.0,0.0,0.0,112.96863113895552
